Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Tai Chi Australia,PO Box 59,Glen Iris,3146,VIC,-37.860009,145.057355,"Martial Arts,State body,Tai Chi",Stonnington (C); Boroondara (C),Southern Metropolitan Region; Eastern Metropolitan Region
Aerobic Body Works,PO Box 98,South Caulfield,3162,VIC,-37.882914,145.02282,Personal training,,
Bay City Strollers,793 High Street,Armadale,3143,VIC,-37.854479,145.014634,Personal training,Stonnington (C),Southern Metropolitan Region
Healthy Vibes,192A Bulleen Road,Bulleen,3105,VIC,-37.763968,145.083424,Personal training,Manningham (C),Eastern Metropolitan Region
Hunter's Personal Training,441 St Kilda Road,Melbourne,3004,VIC,-37.839576,144.976997,Personal training,Melbourne (C),North and West Metropolitan Region
My Trainer Corporation,"Level 1, 123 Maling Rd",Canterbury ,3126,VIC,-37.824708,145.081598,Personal training,Manningham,Eastern Metro
Prams in the Park,Central Park,Malvern East,3145,VIC,-37.866708,145.048649,Personal training,Stonnington (C); Glen Eira (C),Southern Metropolitan Region
Step into Life Balwyn North,Greythorn Park,Balwyn North,3104,VIC,-37.797966,145.094138,Personal training,Boroondara (C),Eastern Metropolitan Region
Step into Life Beaumaris,Balcombe Park,Beaumaris,3193,VIC,-37.975817,145.030822,Personal training,Bayside (C),Southern Metropolitan Region
Step into Life Bentleigh,Hodgson Reserve,Bentleigh,3204,VIC,-37.922095,145.04417,Personal training,Kingston (C); Glen Eira (C),Southern Metropolitan Region
Step into Life Berwick,Hugh Hodson Reserve,Berwick,3806,VIC,-38.025795,145.326964,Personal training,Casey (C),Southern Metropolitan Region
Step into Life Box Hill,Surrey Park,Box Hill,3128,VIC,-37.825761,145.117582,Personal training,Whitehorse (C),Eastern Metropolitan Region
Step into Life Camberwell,Highfield Park,Camberwell,3124,VIC,-37.835372,145.085791,Personal training,Boroondara,Eastern Metro
Step into Life Carlton,Princes Park,Carlton,3053,VIC,-37.792701,144.971854,Personal training,Melbourne (C),North and West Metropolitan Region
Step into Life Caroline Springs,Brookside Reserve,Caroline Springs,3037,VIC,-37.744427,144.736633,Personal training,Brimbank (C),North and West Metropolitan Region
Step into Life Caulfield,Caulfield Park,Caulfield,3162,VIC,-37.895182,145.024304,Personal training,Glen Eira (C),Southern Metropolitan Region
Step into Life Chelsea,Beazley Reserve,Chelsea,3196,VIC,-38.048527,145.131721,Personal training,Kingston (C),Southern Metropolitan Region
Step into Life Cheltenham,Le Page Park,Cheltenham,3192,VIC,-37.958616,145.071046,Personal training,Kingston (C); Bayside (C),Southern Metropolitan Region
Step into Life Cranbourne,Lawson Poole Reserve,Cranbourne,3977,VIC,-38.083148,145.27496,Personal training,Frankston (C); Casey (C),Southern Metropolitan Region
Step into Life Croydon,Croydon Secondary College,Croydon,3136,VIC,-37.796322,145.281036,Personal training,Maroondah (C),Eastern Metropolitan Region
Step into Life Doncaster,Rieschicks Reserve,Doncaster,3108,VIC,-37.779399,145.146551,Personal training,Manningham (C),Eastern Metropolitan Region
Step into Life Eltham,Susan Street Oval,Eltham,3095,VIC,-37.720154,145.142239,Personal training,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Step into Life Essendon,Woodlands Park,Essendon,3040,VIC,-37.742706,144.911294,Personal training,Moonee Valley (C),North and West Metropolitan Region
Step into Life Glen Iris,Hartwell Sports Ground,Glen Iris,3146,VIC,-37.860009,145.057355,Personal training,Stonnington (C); Boroondara (C),Southern Metropolitan Region; Eastern Metropolitan Region
Step into Life Greensborough,Greensborough Park,Greensborough,3088,VIC,-37.69995,145.106204,Personal training,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Step into Life Hampton,Castlefield Reserve,Hampton,3,VIC,-37.933513,145.012481,Personal training,Frankston,Southern Metro
Step into Life Hawthorn,Sir William Angliss Reserve and St James Park,Hawthorn,3122,VIC,-37.822211,145.032802,Personal training,Boroondara (C); Boroondara (C),Eastern Metropolitan Region; Eastern Metropolitan Region
Step into Life Heidelberg,Heidelberg Park,Heidelberg,3081,VIC,-37.733635,145.051749,Personal training,Banyule (C),North and West Metropolitan Region
Step into Life Ivanhoe,Ivanhoe Park,Ivanhoe,3079,VIC,-37.764016,145.044769,Personal training,Banyule (C),North and West Metropolitan Region
Step into Life Kew,Stradbroke Park ,Kew East,3102,VIC,-37.797599,145.061253,Personal training,Boroondara (C),Eastern Metropolitan Region
Step into Life Keysborough,Frederick Wachter Reserve,Keysborough,3173,VIC,-37.987756,145.174495,Personal training,Greater Dandenong (C),Southern Metropolitan Region
Step into Life Lilydale,Lilydale Lake,Lilydale,3140,VIC,-37.765142,145.355139,Personal training,Yarra Ranges (S),Eastern Metropolitan Region
Step into Life Malvern East,Central Park,Malvern East,3145,VIC,-37.866708,145.048649,Personal training,"Stonnington , Glen Eira",Southern Metro
Step into Life Mill Park,Softball Pavilion,Mill Park,3082,VIC,-37.667861,145.062252,Personal training,Whittlesea (C),North and West Metropolitan Region
Step into Life Moonee Ponds,Aberfeldie Reserve,Moonee Ponds,3039,VIC,-37.761098,144.905127,Personal training,Moonee Valley (C),North and West Metropolitan Region
Step into Life Mordialloc,Jack Grut Reserve,Mordialloc,3195,VIC,-38.009351,145.09862,Personal training,Kingston (C),Southern Metropolitan Region
Step into Life Mornington,Mornington Park,Mornington,3931,VIC,-38.243164,145.068681,Personal training,Mornington Peninsula (S),Southern Metropolitan Region
Step into Life Mount Waverley,Pinewood Reserve,Mount Waverley,3149,VIC,-37.888897,145.139308,Personal training,Monash (C),Eastern Metropolitan Region
Step into Life Mt Eliza,Howard Parker Reserve,Mount Eliza,3930,VIC,-38.182975,145.090588,Personal training,Mornington Peninsula (S),Southern Metropolitan Region
Step into Life Murrumbeena,Koornang Park,Murrumbeena,3178,VIC,-37.895069,145.055979,Personal training,Glen Eira (C),Southern Metropolitan Region
Step into Life Pakenham,Pakenham Secondary College,Pakenham,3810,VIC,-38.078518,145.482727,Personal training,Cardinia (S),Southern Metropolitan Region
Step into Life Port Melbourne,Murphy Reserve,Port Melbourne,3207,VIC,-37.835544,144.92246,Personal training,Port Phillip (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region
Step into Life Reservoir,I.W. Dole Reserve,Reservoir,3073,VIC,-37.701851,145.020058,Personal training,Darebin (C),North and West Metropolitan Region
Step into Life Richmond,Kevin Bartlett Reserve,Richmond,3121,VIC,-37.818635,145.00147,Personal training,Yarra (C),North and West Metropolitan Region
Step into Life Ringwood,Peter Vergers Reserve,Ringwood,3134,VIC,-37.796506,145.25389,Personal training,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Step into Life Sale,McMillan Park,Sale,3178,VIC,-38.113634,147.066924,Personal training,Wellington (S),Gippsland Region
Step into Life South Yarra,Edmund Herring Oval,South Yarra,3141,VIC,-37.838568,144.991476,Personal training,Stonnington (C); Melbourne (C),Southern Metropolitan Region
Step into Life St Kilda,Catani Gardens,St Kilda,3182,VIC,-37.861149,144.971165,Personal training,Port Phillip (C),Southern Metropolitan Region
Step into Life Sunbury,Clarke Reserve,Sunbury,3429,VIC,-37.533832,144.766982,Personal training,Melton (S); Hume (C),North and West Metropolitan Region
Step into Life Templestowe,Templestowe Reserve,Templestowe,3106,VIC,-37.753909,145.136894,Personal training,Manningham (C),Eastern Metropolitan Region
Step into Life Thornbury,Mayer Park,Thornbury,3071,VIC,-37.758833,144.986312,Personal training,Darebin (C),North and West Metropolitan Region
Step into Life Vermont South,Emmaus College,Vermont South,3133,VIC,-37.857345,145.182921,Personal training,Whitehorse (C); Maroondah (C),Eastern Metropolitan Region
Step into Life Wantirna,Templeton Reserve,Wantirna,3152,VIC,-37.860349,145.226266,Personal training,Knox (C),Eastern Metropolitan Region
Step into Life Werribee,Galvin Park,Werribee,3030,VIC,-37.914712,144.623627,Personal training,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
Step into Life Wheelers Hill,Brandon Park,Wheelers Hill,3150,VIC,-37.914466,145.168928,Personal training,Monash (C),Eastern Metropolitan Region
Step into Life Williamstown,Fearon Reserve,Williamstown,3016,VIC,-37.866671,144.894785,Personal training,Hobsons Bay (C),North and West Metropolitan Region
Step into Life Wodonga,Kelly Park - Wodonga Sport Park,Wodonga,3690,VIC,-36.122487,146.887885,Personal training,Wodonga (RC),Hume Region
Step into Life Yarraville,Wembley Primary School Wembley Avenue,Yarraville,3013,VIC,-37.821979,144.873632,Personal training,Maribyrnong (C),North and West Metropolitan Region
