Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Hastings Skate Park,Marine Parade,Hastings,3915,VIC,-38.298898,145.190394,Skate Parks,Mornington Peninsula,Southern Metro
Healesville Skate Park,Queens Park,Healesville,3777,VIC,-37.654767,145.524036,Skate Parks,Yarra Ranges,Eastern Metro
Highett Skate Park,Peterson Reserve,Highett,3190,VIC,-37.945768,145.026257,Skate Parks,"Kingston , Bayside",Southern Metro
Hoppers Crossing Ramp,Mossfiel Reserve,Hoppers Crossing,3029,VIC,-37.87703,144.692474,Skate Parks,Wyndham,North and West Metropolitan Region; Metropolitan North & West Region
Inverloch Skate Park,Next to the football oval,Inverloch,3996,VIC,-38.633462,145.729562,Skate Parks,Bass Coast,Gippsland
Kensington Skate Park,Holland Park,Kensington,3031,VIC,-37.797789,144.924709,Skate Parks,Moonee Valley ; Melbourne,North and West Metropolitan Region
Knox Bowls,Lewis Park,Wantirna South,3152,VIC,-37.865506,145.245947,Skate Parks,Knox,Eastern Metro
Koo Wee Rup Skate Park,Rossiter Road,Koo Wee Rup,3981,VIC,-38.200615,145.48776,Skate Parks,"Cardinia , Casey",Southern Metro
Korumburra Skate Park,South Gipsland Highway,Korumburra,3950,VIC,-38.43649,145.827628,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Kyneton Skate Park,Corner Victoria & Beauchaml Streets,Kyneton,3444,VIC,-37.243066,144.459261,Skate Parks,Macedon Ranges,Loddon-Mallee
Lara Skate Park,Austin Park,Lara,3212,VIC,-38.022474,144.410792,Skate Parks,Greater Geelong,Barwon S/W
Leongatha Skate Bowl,Corner Roughead Street & Yarragon Road,Leongatha,3953,VIC,-38.468324,145.950532,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Lilydale Bowls,Hardy Street,Lilydale,3140,VIC,-37.758989,145.352007,Skate Parks,Yarra Ranges,Eastern Metro
Meadow Heights Mini Ramp,Buchan Street,Meadow Heights,3048,VIC,-37.654907,144.922989,Skate Parks,Hume,North and West Metropolitan Region
Melton Skate Park,Melton Recreation Reserve,Melton,3337,VIC,-37.682979,144.580466,Skate Parks,Wyndham ; Melton,North and West Metropolitan Region; Metropolitan North & West Region
Mill Park Mini Ramp,Mill Park Reserve,Mill Park,3082,VIC,-37.655493,145.056918,Skate Parks,Whittlesea,North and West Metropolitan Region
Mirboo North Bowl,Central Park,Mirboo North,3871,VIC,-38.511404,146.23708,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Moe Skate Park,George Street,Moe,3825,VIC,-38.176289,146.262278,Skate Parks,"La Trobe , Baw Baw",Gippsland
Mordialloc Skate Park,Nepean Highway,Mordialloc,3195,VIC,-38.003451,145.084654,Skate Parks,Kingston,Southern Metro
Mornington Skate Park,Civic Reserve,Mornington,3931,VIC,-38.376116,145.124222,Skate Parks,Mornington Peninsula,Southern Metro
Myrtleford Ramp,Cundy Park,Myrtleford,3737,VIC,-36.556322,146.728044,Skate Parks,Alpine,Hume
Narre Warren Skate Park,Ray Bastin Reserve,Narre Warren,3805,VIC,-38.03357,145.307092,Skate Parks,Casey,Southern Metro
Newhaven Ramp,Boys Home Road,Newhaven,3925,VIC,-38.511871,145.353517,Skate Parks,Bass Coast,Gippsland
Noble Park Spine Ramp,Memorial Drive,Noble Park,3174,VIC,-37.961718,145.172795,Skate Parks,Greater Dandenong,Southern Metro
Northcote Skate Park,Separation Street,Northcote,3070,VIC,-37.770409,145.007927,Skate Parks,Darebin,North and West Metropolitan Region
Ocean Grove Skate Park,Shell Road,Ocean Grove,3226,VIC,-38.26056,144.55689,Skate Parks,Greater Geelong,Barwon S/W
Pakenham Skate Park,Henry Street,Pakenham,3810,VIC,-38.076345,145.483644,Skate Parks,Cardinia,Southern Metro
Point Cook Skate Park,Boardwalk Boulevard,Point Cook,3030,VIC,-37.893349,144.728889,Skate Parks,,
Point Lonsdale Skate Park,240 Point Lonsdale Road,Point Lonsdale,3225,VIC,-38.272948,144.624644,Skate Parks,Queenscliffe (b),Barwon S/W
Port Melbourne Skate Park,Intersedtion of Graham & Evans Streets,Port Melbourne,3207,VIC,-37.83703,144.936267,Skate Parks,Port Phillip,Southern Metro
Prahran Bowl and Vert Ramp,Malvern Road,Prahran,3181,VIC,-37.848081,145.003155,Skate Parks,Stonnington,Southern Metro
Reservoir Skate Park,Edwardes Lake Park,Reservoir,3073,VIC,-37.714286,145.007847,Skate Parks,Darebin,North and West Metropolitan Region
Riverside Skate Park,Alexandra Gardens,Melbourne,3000,VIC,-37.820442,144.972185,Skate Parks,Melbourne,North and West Metropolitan Region
Riverslide Skate Park,Boathouse Drive,Melbourne,3001,VIC,-37.820078,144.973234,Skate Parks,Melbourne,North and West Metropolitan Region
Rollerway Newtown Skate Centre,6 Lambert Avenue,Newtown,3220,VIC,-38.159764,144.339138,Skate Parks,Greater Geelong,Barwon S/W
Rutherglen Skate Park,Murray Street,Rutherglen,3073,VIC,-36.054722,146.458787,Skate Parks,Indigo,Hume; Hume Region
Rye Skate Park,Off Melbourne Road,Rye,3941,VIC,-38.37851,144.801636,Skate Parks,Mornington Peninsula,Southern Metro
Sale Skate Park,Park Street,Sale,3850,VIC,-38.11747,147.06036,Skate Parks,Wellington,Gippsland
Sandringham Bowl,Royal Avenue,Sandringham,3191,VIC,-37.958511,145.014746,Skate Parks,Bayside,Southern Metro
Seaford Skate Park,Railway Parade,Seaford,3198,VIC,-38.096104,145.128433,Skate Parks,Frankston,Southern Metro
Shepparton Skate Park,Goulburn Valley Highway,Shepparton,3630,VIC,-36.56522,145.347906,Skate Parks,Greater Shepparton,Hume; Hume Region
Spotswood Vert Ramp,Donald McLean Reserve,Spotswood,3015,VIC,-37.826174,144.883781,Skate Parks,Maribyrnong ; Hobsons Bay,North and West Metropolitan Region; Metropolitan North & West Region
St Albans Skate Park,Taylors Road,St Albans,3021,VIC,-37.728078,144.798474,Skate Parks,Brimbank,North and West Metropolitan Region
Strathmore Ramp,Boeing Reserve,Strathmore,3041,VIC,-37.715765,144.899943,Skate Parks,Moonee Valley,North and West Metropolitan Region
Sunbury Skate Park,Cornish Street,Sunbury,3429,VIC,-37.575392,144.719921,Skate Parks,Melton ; Hume,North and West Metropolitan Region
Thomastown Bowl,Main Street Reserve,Thomastown,3074,VIC,-37.678637,144.998243,Skate Parks,Whittlesea,North and West Metropolitan Region
Torquay Skate Park,Beach Road,Torquay,3228,VIC,-38.326015,144.317735,Skate Parks,Surf Coast,Barwon S/W
Traralgon Skate Park,Agnes Brereton Park,Traralgon,3844,VIC,-38.188592,146.535723,Skate Parks,La Trobe,Gippsland
Upwey Skate Park,Mahony Street,Upwey,3158,VIC,-37.907461,145.334961,Skate Parks,Yarra Ranges,Eastern Metro
